hour,hour_of_day,day,outdoor_temp,outdoor_rh,solar_global,total_hvac_kwh,total_lighting_kwh,total_equipment_kwh,total_energy_kwh,grid_carbon_intensity,carbon_emissions_g,north_perimeter_temp,north_perimeter_humidity,north_perimeter_pmv,north_perimeter_ppd,north_perimeter_hvac_kwh,north_perimeter_hvac_mode,north_perimeter_occupancy,north_perimeter_heating_sp,north_perimeter_cooling_sp,north_perimeter_lighting_frac,east_perimeter_temp,east_perimeter_humidity,east_perimeter_pmv,east_perimeter_ppd,east_perimeter_hvac_kwh,east_perimeter_hvac_mode,east_perimeter_occupancy,east_perimeter_heating_sp,east_perimeter_cooling_sp,east_perimeter_lighting_frac,south_perimeter_temp,south_perimeter_humidity,south_perimeter_pmv,south_perimeter_ppd,south_perimeter_hvac_kwh,south_perimeter_hvac_mode,south_perimeter_occupancy,south_perimeter_heating_sp,south_perimeter_cooling_sp,south_perimeter_lighting_frac,west_perimeter_temp,west_perimeter_humidity,west_perimeter_pmv,west_perimeter_ppd,west_perimeter_hvac_kwh,west_perimeter_hvac_mode,west_perimeter_occupancy,west_perimeter_heating_sp,west_perimeter_cooling_sp,west_perimeter_lighting_frac,core_temp,core_humidity,core_pmv,core_ppd,core_hvac_kwh,core_hvac_mode,core_occupancy,core_heating_sp,core_cooling_sp,core_lighting_frac
52,4,3,19.9,67.4,0.0,0.0,0.06,2.16,2.22,250,555.0,25.5,67.6,0.68,14.7,0.0,free_float,0.0,18.0,28.0,0.1,25.2,67.7,0.58,12.0,0.0,free_float,0.0,18.0,28.0,0.1,26.0,66.3,0.84,19.9,0.0,free_float,0.0,18.0,28.0,0.1,26.1,70.0,0.87,21.0,0.0,free_float,0.0,18.0,28.0,0.1,25.3,66.6,0.61,12.8,0.0,free_float,0.0,18.0,28.0,0.1
53,5,3,21.3,66.6,0.0,0.0,0.06,2.16,2.22,270,599.4,25.5,66.6,0.68,14.7,0.0,free_float,0.0,18.0,28.0,0.1,25.2,67.6,0.59,12.3,0.0,free_float,0.0,18.0,28.0,0.1,26.0,66.6,0.85,20.2,0.0,free_float,0.0,18.0,28.0,0.1,26.1,69.2,0.88,21.3,0.0,free_float,0.0,18.0,28.0,0.1,25.3,67.1,0.62,13.1,0.0,free_float,0.0,18.0,28.0,0.1
54,6,3,22.6,65.8,0.0,0.0,0.06,2.16,2.22,350,777.0,25.6,65.4,0.69,15.0,0.0,free_float,0.1,18.0,23.0,0.1,25.3,66.6,0.6,12.5,0.0,free_float,0.1,18.0,23.0,0.1,26.0,67.2,0.86,20.6,0.0,free_float,0.1,18.0,23.0,0.1,26.1,68.7,0.89,21.7,0.0,free_float,0.1,18.0,23.0,0.1,25.4,66.5,0.63,13.3,0.0,free_float,0.1,18.0,23.0,0.1
55,7,3,24.3,61.8,126.4,20.657,0.3,3.24,24.197,420,10162.7,23.2,63.0,-0.08,5.1,4.044,cooling,0.5,20.0,25.5,0.8,23.1,65.8,-0.1,5.2,2.8,cooling,0.5,20.0,25.5,0.8,22.8,66.4,-0.23,6.1,4.706,cooling,0.5,20.0,25.5,0.8,23.1,67.3,-0.13,5.4,3.528,cooling,0.5,20.0,25.5,0.8,22.8,65.2,-0.21,5.9,5.579,cooling,0.5,20.0,25.5,0.9
56,8,3,22.5,65.3,305.3,0.0,4.482,5.832,10.314,480,4950.7,23.8,62.6,0.11,5.3,0.0,free_float,0.9,20.0,26.0,0.8,23.8,66.6,0.12,5.3,0.0,free_float,0.9,20.0,26.0,0.8,23.6,67.8,0.04,5.0,0.0,free_float,0.9,20.0,26.0,0.8,23.6,66.6,0.06,5.1,0.0,free_float,0.9,20.0,26.0,0.8,23.4,65.1,-0.03,5.0,0.0,free_float,0.9,20.0,26.0,0.9
57,9,3,25.3,61.5,422.1,0.0,4.98,6.48,11.46,500,5730.0,24.5,62.4,0.35,7.5,0.0,free_float,1.0,20.0,25.5,0.8,24.5,66.5,0.35,7.5,0.0,free_float,1.0,20.0,25.5,0.5,24.6,66.5,0.37,7.8,0.0,free_float,1.0,20.0,26.0,0.8,24.2,67.4,0.26,6.4,0.0,free_float,1.0,20.0,26.5,0.8,24.0,64.1,0.2,5.8,0.0,free_float,1.0,20.0,26.0,0.9
58,10,3,26.2,64.1,502.6,0.0,4.71,6.48,11.19,490,5483.1,25.2,62.9,0.59,12.3,0.0,free_float,1.0,20.0,25.5,0.8,25.1,67.7,0.53,10.9,0.0,free_float,1.0,20.0,25.5,0.5,25.6,65.7,0.71,15.6,0.0,free_float,1.0,20.0,26.0,0.4,24.8,65.7,0.45,9.2,0.0,free_float,1.0,20.0,26.0,0.4,24.7,62.6,0.39,8.2,0.0,free_float,1.0,20.0,25.5,0.9
59,11,3,27.3,66.6,632.9,1.78,3.87,6.48,12.13,470,5701.1,25.7,64.4,0.72,15.9,0.695,cooling,1.0,20.0,25.5,0.8,25.6,67.4,0.72,15.9,0.178,cooling,1.0,20.0,25.5,0.5,25.9,64.3,0.79,18.2,0.907,cooling,1.0,20.0,26.0,0.4,25.3,65.3,0.62,13.1,0.0,free_float,1.0,20.0,26.0,0.4,25.4,66.5,0.63,13.3,0.0,free_float,1.0,20.0,25.5,0.9
60,12,3,28.4,58.6,551.9,4.167,3.096,5.184,12.447,450,5601.2,25.8,64.1,0.76,17.2,1.225,cooling,0.8,20.0,25.5,0.8,25.4,64.6,0.64,13.6,0.611,cooling,0.8,20.0,25.5,0.8,25.7,61.8,0.73,16.2,1.12,cooling,0.8,20.0,26.0,0.4,26.2,64.9,0.9,22.1,0.245,cooling,0.8,20.0,26.0,0.4,25.3,63.5,0.59,12.3,0.965,cooling,0.8,20.0,25.5,0.9
61,13,3,31.6,65.6,742.9,6.321,4.14,6.48,16.941,460,7792.9,25.7,63.5,0.75,16.8,1.673,cooling,1.0,20.0,25.0,0.8,25.3,63.6,0.62,13.1,0.644,cooling,1.0,20.0,25.0,0.8,25.8,63.0,0.78,17.8,1.27,cooling,1.0,20.0,25.5,0.4,26.1,66.1,0.87,21.0,1.606,cooling,1.0,20.0,25.5,0.4,25.1,64.0,0.55,11.3,1.129,cooling,1.0,20.0,25.0,0.9
62,14,3,31.6,54.6,593.5,8.829,4.14,6.48,19.449,480,9335.5,24.9,62.2,0.47,9.6,2.196,cooling,1.0,20.0,25.0,0.8,24.6,64.0,0.37,7.8,1.074,cooling,1.0,20.0,25.0,0.8,25.7,60.7,0.74,16.5,1.956,cooling,1.0,20.0,25.5,0.4,25.5,62.9,0.67,14.4,1.824,cooling,1.0,20.0,25.5,0.4,25.1,61.8,0.54,11.1,1.778,cooling,1.0,20.0,25.0,0.9
63,15,3,31.5,60.5,664.7,6.163,4.14,6.48,16.783,500,8391.5,24.9,62.4,0.47,9.6,1.094,cooling,1.0,20.0,25.0,0.8,25.2,63.5,0.59,12.3,0.335,cooling,1.0,20.0,25.0,0.8,25.6,59.9,0.7,15.3,1.893,cooling,1.0,20.0,25.5,0.4,25.5,61.4,0.69,15.0,1.067,cooling,1.0,20.0,25.5,0.4,25.0,59.8,0.5,10.2,1.775,cooling,1.0,20.0,25.0,0.9
64,16,3,29.8,60.6,505.0,5.303,3.726,5.832,14.861,520,7727.7,24.8,62.2,0.45,9.2,0.916,cooling,0.9,20.0,25.5,0.8,25.0,63.6,0.51,10.4,0.875,cooling,0.9,20.0,25.5,0.8,25.9,58.8,0.81,18.8,1.462,cooling,0.9,20.0,26.0,0.4,25.4,61.3,0.63,13.3,0.677,cooling,0.9,20.0,26.0,0.4,24.8,60.8,0.43,8.9,1.374,cooling,0.9,20.0,25.5,0.9
65,17,3,30.0,57.9,389.6,0.758,2.07,3.24,6.068,550,3337.4,25.3,61.8,0.6,12.5,0.0,free_float,0.5,20.0,25.5,0.8,25.4,62.2,0.63,13.3,0.0,free_float,0.5,20.0,25.5,0.8,26.0,59.4,0.85,20.2,0.758,cooling,0.5,20.0,25.5,0.8,25.7,60.1,0.74,16.5,0.0,free_float,0.5,20.0,25.5,0.8,25.2,60.3,0.57,11.8,0.0,free_float,0.5,20.0,25.5,0.9
66,18,3,29.2,56.6,248.4,1.992,0.996,2.16,5.148,530,2728.4,25.4,61.7,0.64,13.6,0.117,cooling,0.2,18.0,28.0,0.1,25.6,60.8,0.69,15.0,0.13,cooling,0.2,18.0,28.0,0.1,25.6,57.4,0.71,15.6,1.298,cooling,0.2,18.0,28.0,0.1,25.7,59.0,0.74,16.5,0.446,cooling,0.2,18.0,28.0,0.1,25.4,59.9,0.64,13.6,0.0,free_float,0.2,18.0,28.0,0.1
67,19,3,27.4,54.6,153.0,0.0,0.06,2.16,2.22,480,1065.6,25.6,59.5,0.69,15.0,0.0,free_float,0.1,18.0,28.0,0.1,25.7,59.0,0.75,16.8,0.0,free_float,0.1,18.0,28.0,0.1,25.9,57.1,0.78,17.8,0.0,free_float,0.1,18.0,28.0,0.1,25.8,57.6,0.78,17.8,0.0,free_float,0.1,18.0,28.0,0.1,25.5,60.3,0.68,14.7,0.0,free_float,0.1,18.0,28.0,0.1
68,20,3,28.1,56.9,0.0,0.0,0.06,2.16,2.22,420,932.4,25.7,58.0,0.74,16.5,0.0,free_float,0.0,18.0,28.0,0.1,25.8,57.6,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,26.0,58.7,0.84,19.9,0.0,free_float,0.0,18.0,28.0,0.1,25.9,57.3,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1,25.6,58.6,0.71,15.6,0.0,free_float,0.0,18.0,28.0,0.1
69,21,3,25.3,63.2,0.0,0.0,0.06,2.16,2.22,380,843.6,25.8,59.9,0.76,17.2,0.0,free_float,0.0,18.0,28.0,0.1,25.9,59.9,0.8,18.5,0.0,free_float,0.0,18.0,28.0,0.1,26.1,59.0,0.86,20.6,0.0,free_float,0.0,18.0,28.0,0.1,26.0,58.9,0.83,19.5,0.0,free_float,0.0,18.0,28.0,0.1,25.7,60.0,0.73,16.2,0.0,free_float,0.0,18.0,28.0,0.1
70,22,3,22.7,63.9,0.0,0.0,0.06,2.16,2.22,340,754.8,25.8,61.3,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.9,61.1,0.82,19.2,0.0,free_float,0.0,18.0,28.0,0.1,26.1,61.0,0.88,21.3,0.0,free_float,0.0,18.0,28.0,0.1,26.0,59.8,0.85,20.2,0.0,free_float,0.0,18.0,28.0,0.1,25.7,61.2,0.75,16.8,0.0,free_float,0.0,18.0,28.0,0.1
71,23,3,23.3,65.1,0.0,0.0,0.06,2.16,2.22,300,666.0,25.8,62.4,0.79,18.2,0.0,free_float,0.0,18.0,28.0,0.1,25.9,61.8,0.82,19.2,0.0,free_float,0.0,18.0,28.0,0.1,26.1,61.4,0.88,21.3,0.0,free_float,0.0,18.0,28.0,0.1,26.0,61.7,0.85,20.2,0.0,free_float,0.0,18.0,28.0,0.1,25.8,61.6,0.75,16.8,0.0,free_float,0.0,18.0,28.0,0.1
72,0,4,20.6,63.1,0.0,0.0,0.06,2.16,2.22,280,621.6,25.8,63.2,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1,25.9,64.8,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1,26.1,61.1,0.87,21.0,0.0,free_float,0.0,18.0,28.0,0.1,26.0,63.1,0.84,19.9,0.0,free_float,0.0,18.0,28.0,0.1,25.8,62.8,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1
73,1,4,20.8,62.2,0.0,0.0,0.06,2.16,2.22,260,577.2,25.8,62.4,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1,25.9,63.9,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1,26.1,61.8,0.87,21.0,0.0,free_float,0.0,18.0,28.0,0.1,26.0,62.3,0.84,19.9,0.0,free_float,0.0,18.0,28.0,0.1,25.8,61.9,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1
74,2,4,18.7,66.8,0.0,0.0,0.06,2.16,2.22,250,555.0,25.8,64.1,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1,25.9,66.2,0.8,18.5,0.0,free_float,0.0,18.0,28.0,0.1,26.1,64.0,0.86,20.6,0.0,free_float,0.0,18.0,28.0,0.1,26.0,62.1,0.83,19.5,0.0,free_float,0.0,18.0,28.0,0.1,25.8,64.4,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1
75,3,4,19.9,70.2,0.0,0.0,0.06,2.16,2.22,240,532.8,25.8,63.5,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1,25.9,67.3,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1,26.1,66.3,0.87,21.0,0.0,free_float,0.0,18.0,28.0,0.1,26.0,64.0,0.84,19.9,0.0,free_float,0.0,18.0,28.0,0.1,25.8,65.4,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1
76,4,4,20.9,67.7,0.0,0.0,0.06,2.16,2.22,250,555.0,25.8,63.8,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.9,66.3,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1,26.1,68.0,0.88,21.3,0.0,free_float,0.0,18.0,28.0,0.1,26.0,63.6,0.84,19.9,0.0,free_float,0.0,18.0,28.0,0.1,25.8,67.3,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1
77,5,4,19.3,68.1,0.0,0.0,0.06,2.16,2.22,270,599.4,25.8,66.0,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1,25.9,67.9,0.8,18.5,0.0,free_float,0.0,18.0,28.0,0.1,26.1,66.2,0.87,21.0,0.0,free_float,0.0,18.0,28.0,0.1,26.0,64.0,0.83,19.5,0.0,free_float,0.0,18.0,28.0,0.1,25.8,66.0,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1
78,6,4,21.0,68.5,0.0,0.0,0.06,2.16,2.22,350,777.0,25.8,65.9,0.78,17.8,0.0,free_float,0.1,18.0,23.0,0.1,25.9,69.8,0.82,19.2,0.0,free_float,0.1,18.0,23.0,0.1,26.1,66.9,0.88,21.3,0.0,free_float,0.1,18.0,23.0,0.1,26.0,65.1,0.85,20.2,0.0,free_float,0.1,18.0,23.0,0.1,25.8,66.4,0.78,17.8,0.0,free_float,0.1,18.0,23.0,0.1
79,7,4,22.4,64.2,137.8,22.261,0.3,3.24,25.801,420,10836.4,23.0,64.7,-0.15,5.5,4.286,cooling,0.5,20.0,25.5,0.8,23.1,69.6,-0.1,5.2,3.411,cooling,0.5,20.0,25.5,0.8,22.9,66.3,-0.19,5.7,4.817,cooling,0.5,20.0,25.5,0.8,23.1,65.3,-0.12,5.3,3.39,cooling,0.5,20.0,25.5,0.8,23.0,66.5,-0.14,5.4,6.358,cooling,0.5,20.0,25.5,0.9
80,8,4,22.8,68.5,289.2,0.0,4.482,5.832,10.314,480,4950.7,23.6,65.8,0.05,5.1,0.0,free_float,0.9,20.0,26.0,0.8,23.8,70.0,0.12,5.3,0.0,free_float,0.9,20.0,26.0,0.8,23.7,66.9,0.07,5.1,0.0,free_float,0.9,20.0,26.0,0.8,23.6,66.5,0.06,5.1,0.0,free_float,0.9,20.0,26.0,0.8,23.6,66.7,0.03,5.0,0.0,free_float,0.9,20.0,26.0,0.9
81,9,4,25.2,64.1,480.3,0.0,4.98,6.48,11.46,500,5730.0,24.3,64.4,0.29,6.7,0.0,free_float,1.0,20.0,26.0,0.8,24.5,68.4,0.35,7.5,0.0,free_float,1.0,20.0,25.5,0.5,24.7,69.0,0.41,8.5,0.0,free_float,1.0,20.0,26.0,0.8,24.2,66.1,0.25,6.3,0.0,free_float,1.0,20.0,26.5,0.8,24.2,65.6,0.26,6.4,0.0,free_float,1.0,20.0,26.0,0.9
82,10,4,26.9,69.0,515.8,0.0,4.71,6.48,11.19,490,5483.1,25.1,63.4,0.53,10.9,0.0,free_float,1.0,20.0,25.5,0.8,25.1,69.7,0.53,10.9,0.0,free_float,1.0,20.0,25.5,0.5,25.7,70.0,0.76,17.2,0.0,free_float,1.0,20.0,26.0,0.4,24.8,67.0,0.46,9.4,0.0,free_float,1.0,20.0,26.0,0.4,24.9,65.3,0.46,9.4,0.0,free_float,1.0,20.0,25.5,0.9
83,11,4,27.7,63.1,609.4,1.923,3.87,6.48,12.273,470,5768.3,25.4,62.0,0.63,13.3,0.555,cooling,1.0,20.0,25.5,0.8,25.5,66.9,0.66,14.2,0.184,cooling,1.0,20.0,25.5,0.5,26.0,69.2,0.84,19.9,1.03,cooling,1.0,20.0,26.0,0.4,25.3,65.4,0.62,13.1,0.0,free_float,1.0,20.0,26.0,0.4,25.5,64.7,0.67,14.4,0.153,cooling,1.0,20.0,25.5,0.9
84,12,4,28.9,65.4,728.9,4.47,3.096,5.184,12.75,450,5737.5,25.6,61.9,0.71,15.6,0.875,cooling,0.8,20.0,25.5,0.8,25.5,67.5,0.68,14.7,0.514,cooling,0.8,20.0,25.5,0.8,26.3,67.3,0.94,23.7,1.472,cooling,0.8,20.0,26.0,0.4,26.1,65.6,0.88,21.3,0.416,cooling,0.8,20.0,26.0,0.4,25.5,65.3,0.67,14.4,1.193,cooling,0.8,20.0,25.5,0.9
85,13,4,29.9,63.1,623.4,6.815,4.14,6.48,17.435,460,8020.1,25.5,62.8,0.68,14.7,1.313,cooling,1.0,20.0,25.5,0.8,25.3,65.3,0.6,12.5,0.721,cooling,1.0,20.0,25.5,0.8,26.1,65.1,0.88,21.3,1.939,cooling,1.0,20.0,26.0,0.4,26.1,63.5,0.87,21.0,1.349,cooling,1.0,20.0,26.0,0.4,25.7,63.4,0.73,16.2,1.493,cooling,1.0,20.0,25.5,0.9
86,14,4,29.2,60.1,551.2,6.29,4.14,6.48,16.91,480,8116.8,25.4,60.2,0.63,13.3,1.132,cooling,1.0,20.0,25.5,0.8,25.6,62.5,0.71,15.6,0.498,cooling,1.0,20.0,25.5,0.8,26.1,64.9,0.89,21.7,1.561,cooling,1.0,20.0,26.0,0.4,26.1,63.6,0.88,21.3,1.209,cooling,1.0,20.0,26.0,0.4,25.9,63.4,0.81,18.8,1.891,cooling,1.0,20.0,25.5,0.9
87,15,4,30.0,60.2,653.9,7.039,4.14,6.48,17.659,500,8829.5,25.7,61.5,0.74,16.5,1.045,cooling,1.0,20.0,25.5,0.8,25.4,61.3,0.62,13.1,0.828,cooling,1.0,20.0,25.5,0.8,26.2,65.2,0.92,22.9,1.695,cooling,1.0,20.0,26.0,0.4,26.1,61.7,0.87,21.0,1.132,cooling,1.0,20.0,26.0,0.4,25.9,61.9,0.8,18.5,2.34,cooling,1.0,20.0,25.5,0.9
88,16,4,30.2,62.4,477.5,6.44,3.726,5.832,15.998,520,8319.0,25.3,62.7,0.62,13.1,1.326,cooling,0.9,20.0,25.0,0.8,25.4,61.9,0.63,13.3,0.557,cooling,0.9,20.0,25.0,0.8,26.2,64.3,0.89,21.7,1.569,cooling,0.9,20.0,25.5,0.8,26.1,61.4,0.87,21.0,0.774,cooling,0.9,20.0,25.5,0.8,25.5,61.8,0.66,14.2,2.214,cooling,0.9,20.0,25.0,0.9
89,17,4,28.0,60.7,436.0,6.682,2.49,3.24,12.412,550,6826.6,24.8,62.1,0.43,8.9,1.074,cooling,0.5,20.0,25.5,0.8,24.7,62.3,0.41,8.5,0.8,cooling,0.5,20.0,25.5,0.8,25.3,63.2,0.62,13.1,1.97,cooling,0.5,20.0,26.0,0.8,25.1,60.8,0.55,11.3,1.002,cooling,0.5,20.0,26.0,0.8,24.8,59.1,0.43,8.9,1.836,cooling,0.5,20.0,25.5,0.9
90,18,4,28.3,60.6,342.1,0.0,0.996,2.16,3.156,530,1672.7,25.1,60.4,0.54,11.1,0.0,free_float,0.2,18.0,28.0,0.1,24.9,61.4,0.48,9.8,0.0,free_float,0.2,18.0,28.0,0.1,25.8,65.1,0.76,17.2,0.0,free_float,0.2,18.0,28.0,0.1,25.3,59.5,0.6,12.5,0.0,free_float,0.2,18.0,28.0,0.1,25.0,60.2,0.51,10.4,0.0,free_float,0.2,18.0,28.0,0.1
91,19,4,27.7,63.4,134.0,0.0,0.06,2.16,2.22,480,1065.6,25.3,62.0,0.6,12.5,0.0,free_float,0.1,18.0,28.0,0.1,25.0,62.4,0.52,10.7,0.0,free_float,0.1,18.0,28.0,0.1,26.0,64.3,0.85,20.2,0.0,free_float,0.1,18.0,28.0,0.1,25.4,59.8,0.65,13.9,0.0,free_float,0.1,18.0,28.0,0.1,25.1,60.3,0.55,11.3,0.0,free_float,0.1,18.0,28.0,0.1
92,20,4,27.0,61.5,0.0,0.0,0.06,2.16,2.22,420,932.4,25.4,59.7,0.64,13.6,0.0,free_float,0.0,18.0,28.0,0.1,25.1,62.9,0.55,11.3,0.0,free_float,0.0,18.0,28.0,0.1,26.1,63.7,0.87,21.0,0.0,free_float,0.0,18.0,28.0,0.1,25.5,60.8,0.68,14.7,0.0,free_float,0.0,18.0,28.0,0.1,25.2,64.6,0.58,12.0,0.0,free_float,0.0,18.0,28.0,0.1
93,21,4,25.2,69.6,0.0,0.0,0.06,2.16,2.22,380,843.6,25.5,63.3,0.67,14.4,0.0,free_float,0.0,18.0,28.0,0.1,25.2,65.0,0.57,11.8,0.0,free_float,0.0,18.0,28.0,0.1,26.2,66.8,0.9,22.1,0.0,free_float,0.0,18.0,28.0,0.1,25.6,62.7,0.7,15.3,0.0,free_float,0.0,18.0,28.0,0.1,25.3,66.8,0.61,12.8,0.0,free_float,0.0,18.0,28.0,0.1
94,22,4,24.0,63.6,0.0,0.0,0.06,2.16,2.22,340,754.8,25.6,63.2,0.69,15.0,0.0,free_float,0.0,18.0,28.0,0.1,25.3,64.9,0.6,12.5,0.0,free_float,0.0,18.0,28.0,0.1,26.3,64.7,0.92,22.9,0.0,free_float,0.0,18.0,28.0,0.1,25.7,63.1,0.73,16.2,0.0,free_float,0.0,18.0,28.0,0.1,25.4,62.8,0.63,13.3,0.0,free_float,0.0,18.0,28.0,0.1
95,23,4,22.2,64.7,0.0,0.0,0.06,2.16,2.22,300,666.0,25.6,63.9,0.72,15.9,0.0,free_float,0.0,18.0,28.0,0.1,25.3,62.9,0.62,13.1,0.0,free_float,0.0,18.0,28.0,0.1,26.3,64.6,0.95,24.1,0.0,free_float,0.0,18.0,28.0,0.1,25.7,62.2,0.75,16.8,0.0,free_float,0.0,18.0,28.0,0.1,25.4,65.4,0.65,13.9,0.0,free_float,0.0,18.0,28.0,0.1
96,0,5,19.5,67.9,0.0,0.0,0.06,2.16,2.22,280,621.6,25.6,65.2,0.71,15.6,0.0,free_float,0.0,18.0,28.0,0.1,25.3,64.7,0.61,12.8,0.0,free_float,0.0,18.0,28.0,0.1,26.3,64.3,0.93,23.3,0.0,free_float,0.0,18.0,28.0,0.1,25.7,64.2,0.74,16.5,0.0,free_float,0.0,18.0,28.0,0.1,25.4,66.0,0.64,13.6,0.0,free_float,0.0,18.0,28.0,0.1
97,1,5,18.1,65.8,0.0,0.0,0.06,2.16,2.22,260,577.2,25.6,65.8,0.7,15.3,0.0,free_float,0.0,18.0,28.0,0.1,25.3,64.2,0.6,12.5,0.0,free_float,0.0,18.0,28.0,0.1,26.3,62.5,0.92,22.9,0.0,free_float,0.0,18.0,28.0,0.1,25.7,65.1,0.73,16.2,0.0,free_float,0.0,18.0,28.0,0.1,25.4,65.8,0.63,13.3,0.0,free_float,0.0,18.0,28.0,0.1
98,2,5,18.4,70.8,0.0,0.0,0.06,2.16,2.22,250,555.0,25.6,68.7,0.7,15.3,0.0,free_float,0.0,18.0,28.0,0.1,25.3,65.7,0.6,12.5,0.0,free_float,0.0,18.0,28.0,0.1,26.3,64.7,0.93,23.3,0.0,free_float,0.0,18.0,28.0,0.1,25.7,65.7,0.73,16.2,0.0,free_float,0.0,18.0,28.0,0.1,25.4,65.5,0.64,13.6,0.0,free_float,0.0,18.0,28.0,0.1
99,3,5,18.5,71.1,0.0,0.0,0.06,2.16,2.22,240,532.8,25.6,69.2,0.7,15.3,0.0,free_float,0.0,18.0,28.0,0.1,25.3,68.5,0.61,12.8,0.0,free_float,0.0,18.0,28.0,0.1,26.3,66.8,0.93,23.3,0.0,free_float,0.0,18.0,28.0,0.1,25.7,65.4,0.73,16.2,0.0,free_float,0.0,18.0,28.0,0.1,25.4,66.1,0.64,13.6,0.0,free_float,0.0,18.0,28.0,0.1
100,4,5,17.0,72.3,0.0,0.0,0.06,2.16,2.22,250,555.0,25.6,68.3,0.7,15.3,0.0,free_float,0.0,18.0,28.0,0.1,25.3,68.5,0.6,12.5,0.0,free_float,0.0,18.0,28.0,0.1,26.2,68.2,0.92,22.9,0.0,free_float,0.0,18.0,28.0,0.1,25.7,67.2,0.73,16.2,0.0,free_float,0.0,18.0,28.0,0.1,25.4,66.8,0.63,13.3,0.0,free_float,0.0,18.0,28.0,0.1
101,5,5,17.2,71.5,0.0,0.0,0.06,2.16,2.22,270,599.4,25.6,70.0,0.7,15.3,0.0,free_float,0.0,18.0,28.0,0.1,25.3,69.2,0.6,12.5,0.0,free_float,0.0,18.0,28.0,0.1,26.1,70.0,0.89,21.7,0.0,free_float,0.0,18.0,28.0,0.1,25.7,67.9,0.73,16.2,0.0,free_float,0.0,18.0,28.0,0.1,25.4,68.3,0.63,13.3,0.0,free_float,0.0,18.0,28.0,0.1
102,6,5,20.8,64.9,0.0,0.0,0.06,2.16,2.22,350,777.0,25.6,68.1,0.72,15.9,0.0,free_float,0.1,18.0,23.0,0.1,25.3,67.0,0.62,13.1,0.0,free_float,0.1,18.0,23.0,0.1,26.1,69.1,0.88,21.3,0.0,free_float,0.1,18.0,23.0,0.1,25.7,65.7,0.75,16.8,0.0,free_float,0.1,18.0,23.0,0.1,25.4,68.1,0.66,14.2,0.0,free_float,0.1,18.0,23.0,0.1
103,7,5,21.2,61.6,170.0,20.128,0.3,3.24,23.668,420,9940.6,23.1,67.6,-0.11,5.3,3.988,cooling,0.5,19.5,25.5,0.8,23.1,66.0,-0.13,5.4,2.787,cooling,0.5,20.0,25.5,0.8,22.9,67.4,-0.2,5.8,4.826,cooling,0.5,20.0,25.5,0.8,22.9,64.0,-0.18,5.7,3.053,cooling,0.5,20.0,25.5,0.8,23.2,67.1,-0.09,5.2,5.474,cooling,0.5,20.0,25.5,0.9
104,8,5,21.2,67.9,248.2,0.0,4.482,5.832,10.314,480,4950.7,23.7,67.9,0.07,5.1,0.0,free_float,0.9,19.5,26.0,0.8,23.8,67.5,0.1,5.2,0.0,free_float,0.9,20.0,26.0,0.8,23.6,67.6,0.05,5.1,0.0,free_float,0.9,20.0,26.0,0.8,23.4,68.0,-0.01,5.0,0.0,free_float,0.9,20.0,26.0,0.8,23.7,65.7,0.09,5.2,0.0,free_float,0.9,20.0,26.0,0.9
105,9,5,23.0,66.5,364.6,0.0,4.98,6.48,11.46,500,5730.0,24.4,69.0,0.31,7.0,0.0,free_float,1.0,20.0,25.5,0.8,24.5,66.5,0.33,7.3,0.0,free_float,1.0,20.0,25.5,0.8,24.5,66.9,0.34,7.4,0.0,free_float,1.0,20.0,25.5,0.8,24.0,67.8,0.18,5.7,0.0,free_float,1.0,20.0,26.0,0.8,24.3,64.6,0.28,6.6,0.0,free_float,1.0,20.0,26.0,0.9
106,10,5,23.5,69.0,497.0,0.0,4.98,6.48,11.46,490,5615.4,25.1,69.3,0.55,11.3,0.0,free_float,1.0,20.0,25.5,0.8,25.1,66.3,0.54,11.1,0.0,free_float,1.0,20.0,25.5,0.5,25.5,67.7,0.67,14.4,0.0,free_float,1.0,20.0,26.0,0.8,24.6,67.1,0.38,8.0,0.0,free_float,1.0,20.0,26.0,0.8,24.9,67.0,0.48,9.8,0.0,free_float,1.0,20.0,25.5,0.9
