hour,hour_of_day,day,outdoor_temp,outdoor_rh,solar_global,total_hvac_kwh,total_lighting_kwh,total_equipment_kwh,total_energy_kwh,grid_carbon_intensity,carbon_emissions_g,north_perimeter_temp,north_perimeter_humidity,north_perimeter_pmv,north_perimeter_ppd,north_perimeter_hvac_kwh,north_perimeter_hvac_mode,north_perimeter_occupancy,east_perimeter_temp,east_perimeter_humidity,east_perimeter_pmv,east_perimeter_ppd,east_perimeter_hvac_kwh,east_perimeter_hvac_mode,east_perimeter_occupancy,south_perimeter_temp,south_perimeter_humidity,south_perimeter_pmv,south_perimeter_ppd,south_perimeter_hvac_kwh,south_perimeter_hvac_mode,south_perimeter_occupancy,west_perimeter_temp,west_perimeter_humidity,west_perimeter_pmv,west_perimeter_ppd,west_perimeter_hvac_kwh,west_perimeter_hvac_mode,west_perimeter_occupancy,core_temp,core_humidity,core_pmv,core_ppd,core_hvac_kwh,core_hvac_mode,core_occupancy
71,23,3,23.1,68.9,0.0,0.54,0.6,2.16,3.3,300,990.0,23.9,64.2,0.15,5.5,0.0,free_float,0.0,24.0,65.3,0.18,5.7,0.0,free_float,0.0,23.7,64.3,0.1,5.2,0.429,cooling,0.0,23.8,63.6,0.12,5.3,0.111,cooling,0.0,24.0,65.4,0.18,5.7,0.0,free_float,0.0
72,0,4,21.3,64.0,0.0,0.241,0.6,2.16,3.001,280,840.3,24.0,63.3,0.17,5.6,0.0,free_float,0.0,24.2,65.3,0.26,6.4,0.08,cooling,0.0,23.8,65.5,0.11,5.3,0.0,free_float,0.0,23.9,62.6,0.13,5.4,0.0,free_float,0.0,23.7,65.4,0.07,5.1,0.161,cooling,0.0
73,1,4,20.1,69.1,0.0,0.351,0.6,2.16,3.111,260,808.9,24.1,65.4,0.21,5.9,0.08,cooling,0.0,24.1,66.9,0.23,6.1,0.271,cooling,0.0,23.9,67.4,0.13,5.4,0.0,free_float,0.0,24.0,65.6,0.16,5.5,0.0,free_float,0.0,23.8,68.0,0.1,5.2,0.0,free_float,0.0
74,2,4,18.8,70.6,0.0,0.372,0.6,2.16,3.132,250,783.0,23.8,66.3,0.13,5.4,0.191,cooling,0.0,24.1,68.4,0.22,6.0,0.143,cooling,0.0,23.9,68.8,0.16,5.5,0.0,free_float,0.0,24.0,67.1,0.17,5.6,0.038,cooling,0.0,23.8,69.6,0.13,5.4,0.0,free_float,0.0
75,3,4,18.0,69.9,0.0,0.154,0.6,2.16,2.914,240,699.4,23.8,68.1,0.12,5.3,0.0,free_float,0.0,23.7,70.0,0.1,5.2,0.13,cooling,0.0,23.9,69.3,0.16,5.5,0.0,free_float,0.0,24.1,67.5,0.2,5.8,0.024,cooling,0.0,23.8,70.0,0.13,5.4,0.0,free_float,0.0
76,4,4,19.4,72.3,0.0,0.154,0.6,2.16,2.914,250,728.5,23.8,69.5,0.13,5.4,0.0,free_float,0.0,23.7,70.0,0.1,5.2,0.0,free_float,0.0,23.9,70.0,0.16,5.5,0.0,free_float,0.0,23.9,68.6,0.16,5.5,0.154,cooling,0.0,23.8,70.0,0.13,5.4,0.0,free_float,0.0
77,5,4,18.4,72.3,0.0,0.0,0.6,2.16,2.76,270,745.2,23.8,70.0,0.13,5.4,0.0,free_float,0.0,23.7,70.0,0.09,5.2,0.0,free_float,0.0,23.9,70.0,0.16,5.5,0.0,free_float,0.0,23.9,69.6,0.16,5.5,0.0,free_float,0.0,23.8,68.7,0.13,5.4,0.0,free_float,0.0
78,6,4,21.3,70.4,0.0,0.0,0.6,2.16,2.76,350,966.0,23.9,67.9,0.14,5.4,0.0,free_float,0.1,23.8,70.0,0.11,5.3,0.0,free_float,0.1,24.0,69.6,0.18,5.7,0.0,free_float,0.1,24.0,68.8,0.18,5.7,0.0,free_float,0.1,23.9,69.9,0.15,5.5,0.0,free_float,0.1
79,7,4,22.1,64.8,159.6,1.954,3.0,3.24,8.194,420,3441.5,23.8,66.9,0.11,5.3,0.341,cooling,0.5,24.1,67.2,0.22,6.0,0.256,cooling,0.5,24.3,69.1,0.29,6.7,0.608,cooling,0.5,24.0,66.9,0.17,5.6,0.32,cooling,0.5,23.9,68.4,0.14,5.4,0.43,cooling,0.5
80,8,4,23.0,68.6,292.3,4.726,5.4,5.832,15.958,480,7659.8,24.1,67.9,0.21,5.9,0.633,cooling,0.9,24.1,68.1,0.22,6.0,0.902,cooling,0.9,24.1,70.0,0.23,6.1,1.567,cooling,0.9,24.0,68.1,0.2,5.8,0.611,cooling,0.9,24.0,69.9,0.18,5.7,1.012,cooling,0.9
81,9,4,24.1,70.3,379.2,5.69,6.0,6.48,18.17,500,9085.0,24.0,67.0,0.18,5.7,1.201,cooling,1.0,24.1,68.1,0.22,6.0,0.89,cooling,1.0,24.2,69.8,0.25,6.3,1.502,cooling,1.0,24.0,68.6,0.18,5.7,0.699,cooling,1.0,23.9,70.0,0.14,5.4,1.398,cooling,1.0
82,10,4,25.7,66.7,599.2,5.898,6.0,6.48,18.378,490,9005.2,23.8,66.9,0.12,5.3,1.172,cooling,1.0,24.0,66.5,0.18,5.7,0.832,cooling,1.0,24.3,69.7,0.28,6.6,1.927,cooling,1.0,24.0,68.1,0.17,5.6,0.726,cooling,1.0,24.0,67.0,0.2,5.8,1.241,cooling,1.0
83,11,4,27.2,60.4,511.7,5.905,6.0,6.48,18.385,470,8641.0,23.9,65.1,0.13,5.4,0.895,cooling,1.0,23.8,65.7,0.11,5.3,0.752,cooling,1.0,24.1,66.4,0.22,6.0,2.003,cooling,1.0,23.9,66.1,0.15,5.5,0.752,cooling,1.0,23.8,66.8,0.13,5.4,1.503,cooling,1.0
84,12,4,28.8,62.3,733.6,5.288,4.8,5.184,15.272,450,6872.4,24.2,63.7,0.25,6.3,0.963,cooling,0.8,24.3,64.9,0.27,6.5,0.43,cooling,0.8,24.4,64.5,0.32,7.1,1.825,cooling,0.8,24.3,65.2,0.29,6.7,1.209,cooling,0.8,23.9,65.0,0.14,5.4,0.86,cooling,0.8
85,13,4,29.2,62.1,794.2,8.48,6.0,6.48,20.96,460,9641.6,23.9,63.8,0.14,5.4,1.598,cooling,1.0,24.2,67.0,0.26,6.4,1.102,cooling,1.0,24.0,62.8,0.17,5.6,2.509,cooling,1.0,24.2,63.1,0.23,6.1,1.911,cooling,1.0,24.1,63.6,0.22,6.0,1.361,cooling,1.0
86,14,4,30.1,63.4,716.1,7.542,6.0,6.48,20.022,480,9610.6,23.9,65.3,0.15,5.5,1.17,cooling,1.0,23.8,64.5,0.1,5.2,1.012,cooling,1.0,24.0,64.0,0.19,5.7,1.878,cooling,1.0,24.3,62.7,0.29,6.7,1.669,cooling,1.0,24.2,63.5,0.25,6.3,1.813,cooling,1.0
87,15,4,30.0,62.8,564.4,6.904,6.0,6.48,19.384,500,9692.0,24.0,65.1,0.19,5.7,1.117,cooling,1.0,23.7,65.4,0.1,5.2,0.588,cooling,1.0,24.2,64.0,0.23,6.1,1.704,cooling,1.0,23.9,63.1,0.13,5.4,1.474,cooling,1.0,23.9,61.6,0.16,5.5,2.02,cooling,1.0
88,16,4,29.9,59.8,534.4,5.414,5.4,5.832,16.646,520,8655.9,24.2,61.8,0.25,6.3,1.153,cooling,0.9,23.9,62.6,0.15,5.5,0.412,cooling,0.9,23.7,63.9,0.09,5.2,1.857,cooling,0.9,23.9,62.5,0.15,5.5,0.744,cooling,0.9,24.0,61.5,0.17,5.6,1.246,cooling,0.9
89,17,4,29.5,56.8,399.6,3.211,3.0,3.24,9.451,550,5198.0,24.2,60.9,0.26,6.4,1.012,cooling,0.5,23.7,60.0,0.08,5.1,0.341,cooling,0.5,24.1,62.6,0.21,5.9,0.625,cooling,0.5,24.2,62.0,0.26,6.4,0.341,cooling,0.5,24.0,60.5,0.17,5.6,0.892,cooling,0.5
90,18,4,29.6,59.6,254.6,2.584,1.2,2.16,5.944,530,3150.3,24.0,60.5,0.17,5.6,0.739,cooling,0.2,24.0,60.6,0.16,5.5,0.0,free_float,0.2,24.0,62.4,0.18,5.7,0.8,cooling,0.2,24.0,61.4,0.17,5.6,0.489,cooling,0.2,23.6,61.1,0.04,5.0,0.556,cooling,0.2
91,19,4,27.7,65.1,150.7,1.177,0.6,2.16,3.937,480,1889.8,23.8,62.3,0.12,5.3,0.324,cooling,0.1,23.8,62.6,0.12,5.3,0.205,cooling,0.1,24.1,62.6,0.2,5.8,0.444,cooling,0.1,24.2,62.3,0.25,6.3,0.205,cooling,0.1,23.8,62.8,0.11,5.3,0.0,free_float,0.1
92,20,4,25.3,63.8,0.0,0.698,0.6,2.16,3.458,420,1452.4,23.9,63.0,0.16,5.5,0.0,free_float,0.0,23.9,64.0,0.16,5.5,0.0,free_float,0.0,24.2,64.1,0.25,6.3,0.339,cooling,0.0,24.1,61.6,0.22,6.0,0.359,cooling,0.0,23.9,64.7,0.16,5.5,0.0,free_float,0.0
93,21,4,23.7,66.1,0.0,0.738,0.6,2.16,3.498,380,1329.2,24.0,64.3,0.18,5.7,0.021,cooling,0.0,24.1,65.1,0.2,5.8,0.016,cooling,0.0,24.3,65.2,0.29,6.7,0.443,cooling,0.0,24.0,63.9,0.16,5.5,0.227,cooling,0.0,24.2,63.9,0.26,6.4,0.032,cooling,0.0
94,22,4,23.7,67.3,0.0,1.758,0.6,2.16,4.518,340,1536.1,24.3,65.0,0.27,6.5,0.162,cooling,0.0,24.0,65.6,0.19,5.7,0.227,cooling,0.0,24.0,64.7,0.18,5.7,0.583,cooling,0.0,23.7,66.5,0.09,5.2,0.121,cooling,0.0,23.8,63.9,0.12,5.3,0.664,cooling,0.0
95,23,4,20.2,66.1,0.0,0.648,0.6,2.16,3.408,300,1022.4,24.3,66.3,0.29,6.7,0.504,cooling,0.0,23.9,68.0,0.14,5.4,0.062,cooling,0.0,24.2,64.8,0.24,6.2,0.082,cooling,0.0,23.8,63.9,0.1,5.2,0.0,free_float,0.0,23.9,66.9,0.13,5.4,0.0,free_float,0.0
96,0,5,18.3,64.6,0.0,0.781,0.6,2.16,3.541,280,991.5,24.5,67.2,0.34,7.4,0.461,cooling,0.0,23.9,67.5,0.16,5.5,0.0,free_float,0.0,24.1,65.6,0.22,6.0,0.32,cooling,0.0,23.8,64.9,0.12,5.3,0.0,free_float,0.0,23.9,66.5,0.16,5.5,0.0,free_float,0.0
97,1,5,18.7,69.1,0.0,0.94,0.6,2.16,3.7,260,962.0,23.9,66.1,0.16,5.5,0.751,cooling,0.0,23.9,67.9,0.16,5.5,0.0,free_float,0.0,23.8,65.5,0.12,5.3,0.189,cooling,0.0,23.8,66.3,0.13,5.4,0.0,free_float,0.0,23.9,68.7,0.16,5.5,0.0,free_float,0.0
98,2,5,18.8,64.5,0.0,0.0,0.6,2.16,2.76,250,690.0,23.9,66.6,0.16,5.5,0.0,free_float,0.0,23.9,65.9,0.16,5.5,0.0,free_float,0.0,23.8,65.0,0.12,5.3,0.0,free_float,0.0,23.8,66.3,0.13,5.4,0.0,free_float,0.0,23.9,66.5,0.16,5.5,0.0,free_float,0.0
99,3,5,17.9,65.9,0.0,0.0,0.6,2.16,2.76,240,662.4,23.9,66.7,0.15,5.5,0.0,free_float,0.0,23.9,64.3,0.15,5.5,0.0,free_float,0.0,23.8,65.7,0.12,5.3,0.0,free_float,0.0,23.8,66.2,0.12,5.3,0.0,free_float,0.0,23.9,66.9,0.15,5.5,0.0,free_float,0.0
100,4,5,18.2,73.7,0.0,0.0,0.6,2.16,2.76,250,690.0,23.9,68.4,0.16,5.5,0.0,free_float,0.0,23.9,67.2,0.16,5.5,0.0,free_float,0.0,23.8,68.6,0.12,5.3,0.0,free_float,0.0,23.8,68.5,0.12,5.3,0.0,free_float,0.0,23.9,69.0,0.16,5.5,0.0,free_float,0.0
101,5,5,18.0,67.8,0.0,0.0,0.6,2.16,2.76,270,745.2,23.9,70.0,0.16,5.5,0.0,free_float,0.0,23.9,66.1,0.15,5.5,0.0,free_float,0.0,23.8,67.7,0.12,5.3,0.0,free_float,0.0,23.8,67.6,0.12,5.3,0.0,free_float,0.0,23.9,69.5,0.16,5.5,0.0,free_float,0.0
102,6,5,19.2,72.6,0.0,0.0,0.6,2.16,2.76,350,966.0,24.0,70.0,0.17,5.6,0.0,free_float,0.1,24.0,70.0,0.17,5.6,0.0,free_float,0.1,23.9,67.9,0.13,5.4,0.0,free_float,0.1,23.9,69.6,0.14,5.4,0.0,free_float,0.1,24.0,69.7,0.17,5.6,0.0,free_float,0.1
103,7,5,20.3,69.3,129.7,1.995,3.0,3.24,8.235,420,3458.7,24.0,70.0,0.18,5.7,0.43,cooling,0.5,24.4,69.2,0.33,7.3,0.409,cooling,0.5,23.7,68.2,0.09,5.2,0.393,cooling,0.5,24.5,68.7,0.35,7.5,0.184,cooling,0.5,24.3,70.0,0.29,6.7,0.579,cooling,0.5
104,8,5,21.5,68.7,271.5,5.637,5.4,5.832,16.869,480,8097.1,23.8,68.9,0.11,5.3,0.873,cooling,0.9,23.9,68.9,0.15,5.5,1.18,cooling,0.9,23.8,68.4,0.13,5.4,0.667,cooling,0.9,23.9,69.4,0.14,5.4,1.113,cooling,0.9,24.2,69.7,0.25,6.3,1.804,cooling,0.9
105,9,5,23.7,71.6,397.7,4.938,6.0,6.48,17.418,500,8709.0,23.8,70.0,0.11,5.3,0.777,cooling,1.0,24.1,69.0,0.21,5.9,0.677,cooling,1.0,24.0,69.9,0.18,5.7,1.092,cooling,1.0,24.0,70.0,0.19,5.7,0.587,cooling,1.0,23.8,70.0,0.12,5.3,1.806,cooling,1.0
106,10,5,23.6,65.0,579.7,4.858,6.0,6.48,17.338,490,8495.6,24.3,67.3,0.27,6.5,0.836,cooling,1.0,23.9,66.4,0.15,5.5,0.796,cooling,1.0,24.0,69.2,0.19,5.7,1.577,cooling,1.0,24.0,69.7,0.19,5.7,0.69,cooling,1.0,23.9,68.7,0.13,5.4,0.959,cooling,1.0
107,11,5,25.7,64.7,683.2,5.951,6.0,6.48,18.431,470,8662.6,24.2,65.7,0.24,6.2,1.622,cooling,1.0,23.7,64.1,0.09,5.2,0.621,cooling,1.0,24.1,66.7,0.22,6.0,1.741,cooling,1.0,23.6,68.6,0.04,5.0,0.726,cooling,1.0,24.5,67.5,0.35,7.5,1.241,cooling,1.0
108,12,5,27.9,62.1,635.0,6.427,4.8,5.184,16.411,450,7385.0,24.1,65.2,0.22,6.0,1.331,cooling,0.8,23.9,63.3,0.14,5.4,0.309,cooling,0.8,23.8,65.0,0.1,5.2,1.693,cooling,0.8,23.8,68.0,0.11,5.3,0.787,cooling,0.8,24.0,66.1,0.18,5.7,2.306,cooling,0.8
109,13,5,27.9,62.4,766.9,6.542,6.0,6.48,19.022,460,8750.1,24.2,65.8,0.23,6.1,1.419,cooling,1.0,24.1,63.0,0.21,5.9,0.658,cooling,1.0,23.7,63.2,0.09,5.2,1.605,cooling,1.0,23.9,65.7,0.16,5.5,1.334,cooling,1.0,24.0,65.0,0.17,5.6,1.527,cooling,1.0
110,14,5,29.1,60.7,618.9,6.564,6.0,6.48,19.044,480,9141.1,23.4,64.6,-0.01,5.0,1.536,cooling,1.0,24.1,61.5,0.2,5.8,0.889,cooling,1.0,24.1,61.2,0.21,5.9,1.324,cooling,1.0,23.8,64.6,0.12,5.3,1.246,cooling,1.0,23.9,63.6,0.13,5.4,1.568,cooling,1.0
111,15,5,28.4,60.2,530.8,5.246,6.0,6.48,17.726,500,8863.0,23.9,62.9,0.16,5.5,0.366,cooling,1.0,24.0,61.3,0.19,5.7,0.878,cooling,1.0,24.0,61.3,0.18,5.7,1.771,cooling,1.0,24.2,64.2,0.26,6.4,0.898,cooling,1.0,23.7,60.0,0.08,5.1,1.333,cooling,1.0
112,16,5,29.4,56.6,506.8,5.099,5.4,5.832,16.331,520,8492.1,24.2,60.7,0.26,6.4,0.992,cooling,0.9,24.2,60.7,0.23,6.1,0.72,cooling,0.9,24.0,59.7,0.17,5.6,1.534,cooling,0.9,23.9,61.9,0.15,5.5,1.046,cooling,0.9,24.2,58.2,0.23,6.1,0.808,cooling,0.9
113,17,5,28.2,58.3,381.4,4.197,3.0,3.24,10.437,550,5740.3,24.1,60.1,0.21,5.9,0.976,cooling,0.5,23.8,61.2,0.11,5.3,0.635,cooling,0.5,24.0,59.3,0.16,5.5,0.997,cooling,0.5,23.8,60.4,0.11,5.3,0.319,cooling,0.5,23.8,58.1,0.11,5.3,1.27,cooling,0.5
114,18,5,28.6,57.2,290.8,1.466,1.2,2.16,4.826,530,2557.8,24.1,59.4,0.19,5.7,0.588,cooling,0.2,24.2,58.9,0.25,6.3,0.05,cooling,0.2,23.7,58.3,0.07,5.1,0.677,cooling,0.2,24.0,60.4,0.17,5.6,0.05,cooling,0.2,24.3,59.0,0.27,6.5,0.101,cooling,0.2
115,19,5,26.3,65.5,157.4,2.003,0.6,2.16,4.763,480,2286.2,23.8,61.7,0.13,5.4,0.435,cooling,0.1,23.9,62.9,0.13,5.4,0.392,cooling,0.1,24.0,60.6,0.17,5.6,0.0,free_float,0.1,23.9,62.1,0.15,5.5,0.181,cooling,0.1,23.7,60.0,0.09,5.2,0.995,cooling,0.1
116,20,5,25.7,61.6,0.0,0.307,0.6,2.16,3.067,420,1288.1,23.9,61.2,0.16,5.5,0.0,free_float,0.0,24.1,61.8,0.2,5.8,0.05,cooling,0.0,23.8,61.8,0.13,5.4,0.207,cooling,0.0,24.1,63.3,0.22,6.0,0.05,cooling,0.0,23.8,59.2,0.12,5.3,0.0,free_float,0.0
117,21,5,22.9,66.7,0.0,0.426,0.6,2.16,3.186,380,1210.7,24.0,63.5,0.18,5.7,0.0,free_float,0.0,24.2,62.7,0.26,6.4,0.213,cooling,0.0,23.9,63.3,0.14,5.4,0.0,free_float,0.0,24.3,66.1,0.28,6.6,0.213,cooling,0.0,23.9,62.2,0.14,5.4,0.0,free_float,0.0
118,22,5,22.4,63.7,0.0,0.858,0.6,2.16,3.618,340,1230.1,24.1,63.3,0.22,6.0,0.132,cooling,0.0,23.9,61.7,0.14,5.4,0.31,cooling,0.0,24.0,61.7,0.17,5.6,0.0,free_float,0.0,23.6,66.0,0.05,5.1,0.415,cooling,0.0,24.0,62.8,0.17,5.6,0.0,free_float,0.0
119,23,5,20.2,67.0,0.0,0.429,0.6,2.16,3.189,300,956.7,24.0,63.1,0.17,5.6,0.223,cooling,0.0,24.0,64.2,0.16,5.5,0.0,free_float,0.0,24.1,63.6,0.2,5.8,0.082,cooling,0.0,23.7,67.1,0.07,5.1,0.0,free_float,0.0,23.8,65.3,0.13,5.4,0.123,cooling,0.0
120,0,6,18.5,72.0,0.0,0.261,0.6,2.16,3.021,280,845.9,23.8,66.3,0.11,5.3,0.044,cooling,0.0,24.1,66.6,0.2,5.8,0.033,cooling,0.0,24.0,66.0,0.17,5.6,0.184,cooling,0.0,23.7,69.4,0.09,5.2,0.0,free_float,0.0,23.8,67.9,0.13,5.4,0.0,free_float,0.0
121,1,6,17.8,65.5,0.0,0.154,0.6,2.16,2.914,260,757.6,23.8,66.8,0.12,5.3,0.0,free_float,0.0,24.5,67.3,0.33,7.3,0.126,cooling,0.0,23.6,65.9,0.06,5.1,0.028,cooling,0.0,23.7,70.0,0.09,5.2,0.0,free_float,0.0,23.8,67.8,0.12,5.3,0.0,free_float,0.0
122,2,6,17.5,72.9,0.0,0.543,0.6,2.16,3.303,250,825.8,23.8,69.1,0.12,5.3,0.0,free_float,0.0,23.9,69.0,0.17,5.6,0.543,cooling,0.0,23.6,68.8,0.06,5.1,0.0,free_float,0.0,23.7,69.9,0.09,5.2,0.0,free_float,0.0,23.8,70.0,0.12,5.3,0.0,free_float,0.0
123,3,6,16.7,71.6,0.0,0.0,0.6,2.16,2.76,240,662.4,23.8,70.0,0.12,5.3,0.0,free_float,0.0,23.9,70.0,0.15,5.5,0.0,free_float,0.0,23.6,69.1,0.05,5.1,0.0,free_float,0.0,23.7,69.3,0.09,5.2,0.0,free_float,0.0,23.8,70.0,0.12,5.3,0.0,free_float,0.0
124,4,6,18.4,65.1,0.0,0.0,0.6,2.16,2.76,250,690.0,23.8,68.1,0.13,5.4,0.0,free_float,0.0,23.9,67.7,0.16,5.5,0.0,free_float,0.0,23.6,67.1,0.06,5.1,0.0,free_float,0.0,23.7,65.9,0.09,5.2,0.0,free_float,0.0,23.8,69.1,0.13,5.4,0.0,free_float,0.0
125,5,6,18.0,64.7,0.0,0.0,0.6,2.16,2.76,270,745.2,23.8,68.8,0.12,5.3,0.0,free_float,0.0,23.9,66.0,0.15,5.5,0.0,free_float,0.0,23.6,67.5,0.06,5.1,0.0,free_float,0.0,23.7,65.0,0.09,5.2,0.0,free_float,0.0,23.8,68.0,0.12,5.3,0.0,free_float,0.0
126,6,6,18.0,76.5,0.0,0.0,0.6,2.16,2.76,350,966.0,23.8,70.0,0.13,5.4,0.0,free_float,0.1,23.9,70.0,0.16,5.5,0.0,free_float,0.1,23.6,70.0,0.06,5.1,0.0,free_float,0.1,23.7,69.7,0.1,5.2,0.0,free_float,0.1,23.8,70.0,0.13,5.4,0.0,free_float,0.1
127,7,6,20.3,70.3,151.2,0.637,3.0,3.24,6.877,420,2888.3,24.2,69.4,0.26,6.4,0.157,cooling,0.5,24.2,70.0,0.25,6.3,0.323,cooling,0.5,24.0,67.3,0.18,5.7,0.0,free_float,0.5,24.0,70.0,0.17,5.6,0.0,free_float,0.5,23.9,69.2,0.16,5.5,0.158,cooling,0.5
128,8,6,20.4,67.4,265.9,4.622,5.4,5.832,15.854,480,7609.9,24.1,67.8,0.22,6.0,1.128,cooling,0.9,24.4,70.0,0.31,7.0,0.947,cooling,0.9,24.1,67.1,0.22,6.0,1.057,cooling,0.9,23.8,68.8,0.12,5.3,0.567,cooling,0.9,24.2,70.0,0.26,6.4,0.923,cooling,0.9
129,9,6,23.8,63.7,399.2,6.217,6.0,6.48,18.697,500,9348.5,23.9,67.3,0.15,5.5,1.201,cooling,1.0,23.6,68.3,0.06,5.1,1.206,cooling,1.0,24.2,65.9,0.25,6.3,1.517,cooling,1.0,23.9,67.7,0.16,5.5,0.483,cooling,1.0,24.0,69.5,0.17,5.6,1.809,cooling,1.0
130,10,6,23.1,65.6,452.9,4.826,6.0,6.48,17.306,490,8479.9,24.4,68.5,0.3,6.9,0.922,cooling,1.0,23.9,66.9,0.15,5.5,0.26,cooling,1.0,24.1,64.8,0.21,5.9,1.703,cooling,1.0,24.1,67.8,0.2,5.8,0.576,cooling,1.0,24.2,68.2,0.26,6.4,1.364,cooling,1.0
131,11,6,25.1,61.5,700.5,6.928,6.0,6.48,19.408,470,9121.8,23.8,65.5,0.13,5.4,1.755,cooling,1.0,23.9,66.8,0.16,5.5,0.611,cooling,1.0,23.9,63.8,0.14,5.4,1.888,cooling,1.0,24.0,64.8,0.19,5.7,0.821,cooling,1.0,23.6,65.2,0.06,5.1,1.854,cooling,1.0
132,12,6,26.6,63.2,677.0,4.271,4.8,5.184,14.255,450,6414.8,23.9,65.6,0.15,5.5,0.754,cooling,0.8,23.7,66.0,0.1,5.2,0.498,cooling,0.8,23.7,64.1,0.09,5.2,1.43,cooling,0.8,24.0,62.7,0.18,5.7,1.225,cooling,0.8,24.2,63.9,0.26,6.4,0.364,cooling,0.8
133,13,6,26.7,63.5,685.6,6.204,6.0,6.48,18.684,460,8594.6,23.9,65.1,0.16,5.5,1.083,cooling,1.0,24.1,67.1,0.21,5.9,0.427,cooling,1.0,24.0,63.1,0.17,5.6,1.345,cooling,1.0,23.7,62.9,0.09,5.2,1.441,cooling,1.0,23.9,65.8,0.15,5.5,1.908,cooling,1.0
134,14,6,29.3,57.7,673.6,6.296,6.0,6.48,18.776,480,9012.5,23.9,62.7,0.13,5.4,1.138,cooling,1.0,24.3,63.6,0.27,6.5,0.893,cooling,1.0,23.8,61.0,0.12,5.3,1.812,cooling,1.0,23.8,61.5,0.11,5.3,1.089,cooling,1.0,24.3,63.7,0.29,6.7,1.364,cooling,1.0
135,15,6,27.8,61.1,717.5,6.906,6.0,6.48,19.386,500,9693.0,24.0,61.5,0.17,5.6,1.119,cooling,1.0,24.0,63.7,0.18,5.7,1.078,cooling,1.0,23.8,61.0,0.11,5.3,1.547,cooling,1.0,24.2,61.9,0.25,6.3,1.007,cooling,1.0,24.3,62.4,0.26,6.4,2.156,cooling,1.0
136,16,6,26.4,63.7,586.6,6.019,5.4,5.832,17.251,520,8970.5,24.2,61.7,0.25,6.3,1.091,cooling,0.9,24.3,63.8,0.26,6.4,0.669,cooling,0.9,24.2,62.3,0.23,6.1,1.275,cooling,0.9,23.8,61.8,0.12,5.3,1.013,cooling,0.9,24.2,62.5,0.25,6.3,1.971,cooling,0.9
137,17,6,27.0,59.8,415.0,4.391,3.0,3.24,10.631,550,5847.0,23.9,61.3,0.13,5.4,0.96,cooling,0.5,24.0,62.8,0.19,5.7,0.72,cooling,0.5,24.1,61.6,0.21,5.9,1.289,cooling,0.5,24.1,61.2,0.19,5.7,0.193,cooling,0.5,24.2,63.1,0.25,6.3,1.229,cooling,0.5
138,18,6,25.5,63.1,244.3,2.276,1.2,2.16,5.636,530,2987.1,24.5,62.4,0.35,7.5,0.22,cooling,0.2,24.1,63.1,0.2,5.8,0.208,cooling,0.2,23.9,62.4,0.15,5.5,0.695,cooling,0.2,23.9,61.9,0.16,5.5,0.314,cooling,0.2,24.3,62.1,0.26,6.4,0.839,cooling,0.2
139,19,6,26.2,67.2,149.1,2.609,0.6,2.16,5.369,480,2577.1,24.0,61.6,0.17,5.6,0.993,cooling,0.1,23.9,65.3,0.15,5.5,0.285,cooling,0.1,24.1,63.0,0.21,5.9,0.267,cooling,0.1,23.9,63.1,0.14,5.4,0.074,cooling,0.1,23.9,61.6,0.13,5.4,0.991,cooling,0.1
140,20,6,24.6,68.3,0.0,0.629,0.6,2.16,3.389,420,1423.4,23.9,64.0,0.15,5.5,0.182,cooling,0.0,24.0,65.3,0.18,5.7,0.031,cooling,0.0,24.1,63.4,0.2,5.8,0.323,cooling,0.0,24.2,64.2,0.26,6.4,0.031,cooling,0.0,24.0,63.9,0.19,5.7,0.062,cooling,0.0
141,21,6,22.3,68.1,0.0,0.871,0.6,2.16,3.631,380,1379.8,24.0,66.1,0.18,5.7,0.0,free_float,0.0,23.7,66.3,0.09,5.2,0.097,cooling,0.0,24.4,63.8,0.31,7.0,0.271,cooling,0.0,23.9,65.9,0.14,5.4,0.308,cooling,0.0,24.0,65.5,0.19,5.7,0.195,cooling,0.0
142,22,6,21.5,68.9,0.0,0.954,0.6,2.16,3.714,340,1262.8,24.1,66.7,0.21,5.9,0.112,cooling,0.0,23.8,67.8,0.11,5.3,0.0,free_float,0.0,24.4,65.2,0.31,7.0,0.674,cooling,0.0,24.0,65.8,0.17,5.6,0.0,free_float,0.0,24.2,66.4,0.25,6.3,0.168,cooling,0.0
143,23,6,18.0,72.3,0.0,1.263,0.6,2.16,4.023,300,1206.9,24.0,68.7,0.18,5.7,0.173,cooling,0.0,23.8,69.3,0.12,5.3,0.0,free_float,0.0,24.1,66.9,0.23,6.1,0.595,cooling,0.0,24.1,67.5,0.22,6.0,0.024,cooling,0.0,24.1,68.8,0.23,6.1,0.47,cooling,0.0
144,0,7,18.2,72.9,0.0,0.614,0.6,2.16,3.374,280,944.7,24.2,70.0,0.24,6.2,0.037,cooling,0.0,23.8,70.0,0.13,5.4,0.0,free_float,0.0,24.0,68.4,0.17,5.6,0.178,cooling,0.0,24.0,68.8,0.18,5.7,0.133,cooling,0.0,24.2,68.4,0.24,6.2,0.266,cooling,0.0
